listing_data_garage_or_park_sqft,address_unit,listing_data_lot_area_acres,last_sold_date,listing_data_air_conditioning,address_city,address_state,listing_data_num_bedrooms,listing_data_num_bathrooms,address_address_line1,address_lat,sold_price_history,listing_data_basement_area,last_sold_price,address_zipcode,listing_data_roof_type,address_lon,listing_data_heat_type,listing_data_building_area_sq_ft,address_slug,listing_data_fireplace,listing_data_lot_area_sqft,year_built,prop_taxes
,None,0.0,2017-08-02,Central,Charlotte,NC,2,2,16833 Greenlawn Hills Ct,35.3034,"{""20170802"": 108000, ""20070702"": 107000}",,108000,28213,,-80.69021,Yes,1094,16833-Greenlawn-Hills-Ct-Charlotte-NC-28213,,-,2007,1254.06
,None,0.04,2017-08-02,Central,Charlotte,NC,3,2,16849 Timber Crossing Rd,35.30236,"{""20120709"": 66500, ""20170802"": 149000}",,149000,28213,,-80.68813,Yes,1594,16849-Timber-Crossing-Rd-Charlotte-NC-28213,1,-,2006,1595.79
,None,0.24,2017-08-02,None,Charlotte,NC,2,1,2101 Jennie Linn Dr,35.23982,"{""20170802"": 50000, ""20010503"": 61000}",,50000,28215,G00,-80.77354,Yes,744,2101-Jennie-Linn-Dr-Charlotte-NC-28215,,-,1955,607.5
,None,0.61,2017-08-02,Central,Charlotte,NC,5,3,2137 Halford Pl,35.15212,"{""20050419"": 727500, ""20170802"": 110000}",,110000,28211,G00,-80.81058,Yes,5483,2137-Halford-Pl-Charlotte-NC-28211,1,-,1971,12660.96
304 ,None,0.37,2017-08-02,Central,Charlotte,NC,3,2,2323 Linda Lou Ct,35.29355,"{""20170802"": 133000}",,133000,28213,G00,-80.7131301,Yes,1236,2323-Linda-Lou-Ct-Charlotte-NC-28213,1,-,1989,1219.76
,None,0.0,2017-08-02,None,Charlotte,NC,2,1,241 Goff St,35.262036,"{""20050328"": 83000, ""20170802"": 42000}",,42000,28208,,-80.885581,Central,708,241-Goff-St-Charlotte-NC-28208,,-,1910,478.06
,None,0.0,2017-08-02,None,Charlotte,NC,2,1,247 Goff St,35.261915,"{""20170802"": 42000}",,42000,28208,,-80.885782,None,660,247-Goff-St-Charlotte-NC-28208,,-,1910,472.89
,None,0.27,2017-08-02,Central,Charlotte,NC,3,2,2638 Clover Hill Ln,35.236,"{""20170802"": 140000, ""20000928"": 98000}",,140000,28215,G00,-80.7475901,Yes,1723,2638-Clover-Hill-Ln-Charlotte-NC-28215,,-,1973,1258.59
640 ,None,0.56,2017-08-02,Central,Charlotte,NC,4,4,2700 Belvedere Ave,35.22642,"{""20170802"": 1400000, ""20041222"": 175000}",488,1400000,28205,G00,-80.79708,Yes,3579,2700-Belvedere-Ave-Charlotte-NC-28205,1,-,1939,8622.42
420 ,None,0.36,2017-08-02,Central,Charlotte,NC,3,2,2701 Heidleburg Ln,35.11046,"{""20170802"": 256000, ""20080317"": 209000}",,256000,28210,G00,-80.8681901,Yes,1701,2701-Heidleburg-Ln-Charlotte-NC-28210,1,-,1983,2292.81
,None,0.45,2017-08-02,None,Charlotte,NC,2,1,2820 Grimes St,35.25568,"{""20030916"": 65000, ""20170802"": 75000}",,75000,28206,G00,-80.82002,Yes,1084,2820-Grimes-St-Charlotte-NC-28206,1,-,1950,1045.01
,None,0.08,2017-08-02,None,Charlotte,NC,2,1,2838 N Brevard St,35.24478,"{""20170802"": 150000, ""20040331"": 72500}",,150000,28205,G00,-80.80984,Yes,850,2838-N-Brevard-St-Charlotte-NC-28205,,-,1905,1611.95
506 ,None,0.47,2017-08-02,Central,Charlotte,NC,4,2,327 Wednesbury Blvd,35.34068,"{""20170802"": 295000, ""19891215"": 224000}",,295000,28262,G00,-80.70741,Yes,2794,327-Wednesbury-Blvd-Charlotte-NC-28262,1,-,1987,3086.28
,None,0.46,2017-08-02,Central,Charlotte,NC,3,2,3327 Tinkerbell Ln,35.13361,"{""20170802"": 422000, ""20130703"": 372500}",300,422000,28210,I00,-80.82609,Yes,2013,3327-Tinkerbell-Ln-Charlotte-NC-28210,1,-,1964,4420.8
,None,0.02,2017-08-02,Central,Charlotte,NC,2,2,3430 Chagall Ct,35.24846,"{""20170802"": 238000}",,238000,28205,,-80.8012601,Yes,1356,3430-Chagall-Ct-Charlotte-NC-28205,1,-,2002,1961.44
,None,0.23,2017-08-02,None,Charlotte,NC,3,1,3715 Sargeant Dr,35.202,"{""20170802"": 80000}",,80000,28217,G00,-80.8942901,Yes,1092,3715-Sargeant-Dr-Charlotte-NC-28217,,-,1958,839.2
550 ,None,0.37,2017-08-02,Central,Charlotte,NC,4,2,3815 Denmeade Dr,35.33942,"{""20170802"": 321000, ""20140521"": 277500, ""19951129"": 258000}",,321000,28269,I00,-80.7834,Yes,2841,3815-Denmeade-Dr-Charlotte-NC-28269,1,-,1994,3369.75
,Unit 710,4.0,2017-08-02,Central,Charlotte,NC,1,1,435 S Tryon St,35.22386,"{""20050916"": 353500, ""20170802"": 325000}",,325000,28202,,-80.84661,Yes,1080,435-S-Tryon-St-Unit-710-Charlotte-NC-28202,,-,2002,4067.56
